Humidity	OrigTemp	SensorReadings	Error
45	-11	-7.117647059	3.882352941
46	-11.1	-11.1	4
54	-12.1	-7.158823529	4.941176471
53	-12.3	-7.476470588	4.823529412
54	-12.4	-12.4	4.941176471
57	-12.4	-7.105882353	5.294117647
52	-12.7	-12.7	4.705882353
54	-12.6	-17.54117647	4.941176471
43	-11.7	-11.7	3.647058824
36	-9.1	-6.276470588	2.823529412
32	-8	-8	2.352941176
34	-6.1	-3.511764706	2.588235294
35	-5.4	-8.105882353	2.705882353
36	-4.6	-4.6	2.823529412
39	-3.7	-0.523529412	3.176470588
41	-4.2	-0.788235294	3.411764706
43	-4.6	-4.6	3.647058824
46	-5.3	-5.3	4
49	-5.2	-9.552941176	4.352941176
51	-4.9	-0.311764706	4.588235294
53	-5	-9.823529412	4.823529412
54	-4.8	0.141176471	4.941176471
55	-4.6	0.458823529	5.058823529
58	-4.5	0.911764706	5.411764706
67	-4.7	-4.7	6.470588235
72	-4.7	-11.75882353	7.058823529
84	-4.8	3.670588235	8.470588235
83	-4.5	-12.85294118	8.352941176
83	-4.2	4.152941176	8.352941176
84	-3.9	-12.37058824	8.470588235
83	-3.6	-11.95294118	8.352941176
86	-3.2	-3.2	8.705882353
90	-3.4	5.776470588	9.176470588
87	-2.9	-11.72352941	8.823529412
89	-2.8	-2.8	9.058823529
84	-2.1	-2.1	8.470588235
79	-0.9	-8.782352941	7.882352941
77	-0.1	-7.747058824	7.647058824
73	0	7.176470588	7.176470588
77	-0.4	-0.4	7.647058824
72	-1.6	-1.6	7.058823529
63	-2.5	-8.5	6
60	-3.1	-3.1	5.647058824
63	-3.9	2.1	6
68	-4.7	1.888235294	6.588235294
73	-5.5	1.676470588	7.176470588
74	-6.5	-6.5	7.294117647
65	-7.4	-7.4	6.235294118
66	-8	-14.35294118	6.352941176
65	-8.4	-8.4	6.235294118
65	-8.9	-2.664705882	6.235294118
63	-9.2	-15.2	6
66	-9.7	-9.7	6.352941176
62	-10	-15.88235294	5.882352941
54	-10.1	-15.04117647	4.941176471
56	-10.5	-15.67647059	5.176470588
54	-10.1	-5.158823529	4.941176471
46	-9.1	-13.1	4
44	-7.6	-11.36470588	3.764705882
40	-6.3	-3.005882353	3.294117647
38	-4.8	-7.858823529	3.058823529
35	-3.7	-3.7	2.705882353
36	-3.6	-0.776470588	2.823529412
32	-4	-6.352941176	2.352941176
37	-5	-2.058823529	2.941176471
37	-5.2	-2.258823529	2.941176471
40	-5.4	-5.4	3.294117647
46	-5.5	-9.5	4
49	-5.4	-9.752941176	4.352941176
50	-5.3	-0.829411765	4.470588235
50	-5.3	-5.3	4.470588235
51	-5.1	-5.1	4.588235294
76	-6.9	-6.9	7.529411765
79	-6.9	-14.78235294	7.882352941
76	-6.3	-13.82941176	7.529411765
68	-6.2	0.388235294	6.588235294
79	-6.4	-14.28235294	7.882352941
90	-6.9	2.276470588	9.176470588
93	-7	2.529411765	9.529411765
94	-6.4	-6.4	9.647058824
94	-6.1	-15.74705882	9.647058824
94	-6.1	-15.74705882	9.647058824
94	-5.9	3.747058824	9.647058824
94	-5.2	-5.2	9.647058824
93	-3.8	-13.32941176	9.529411765
92	-3.9	-3.9	9.411764706
91	-3.5	5.794117647	9.294117647
87	-3.9	-12.72352941	8.823529412
86	-4	4.705882353	8.705882353
86	-4.6	-4.6	8.705882353
84	-5.3	-5.3	8.470588235
81	-6	-14.11764706	8.117647059
71	-6.5	0.441176471	6.941176471
73	-7	-7	7.176470588
71	-7.3	-0.358823529	6.941176471
71	-8	-1.058823529	6.941176471
74	-8.4	-15.69411765	7.294117647
76	-8.8	-1.270588235	7.529411765
77	-9.2	-16.84705882	7.647058824
75	-9.2	-1.788235294	7.411764706
74	-9.6	-2.305882353	7.294117647
73	-9.6	-16.77647059	7.176470588
75	-10.1	-10.1	7.411764706
76	-10.5	-18.02941176	7.529411765
73	-10.4	-3.223529412	7.176470588
70	-9.9	-9.9	6.823529412
65	-9	-9	6.235294118
57	-8.8	-14.09411765	5.294117647
55	-8.3	-8.3	5.058823529
56	-7.5	-7.5	5.176470588
55	-7.3	-2.241176471	5.058823529
50	-7.7	-3.229411765	4.470588235
55	-9	-14.05882353	5.058823529
57	-10	-10	5.294117647
58	-10.6	-16.01176471	5.411764706
64	-11	-17.11764706	6.117647059
65	-11.3	-11.3	6.235294118
69	-11.7	-11.7	6.705882353
72	-12.1	-12.1	7.058823529
74	-12.3	-12.3	7.294117647
75	-12.5	-5.088235294	7.411764706
77	-12.9	-12.9	7.647058824
77	-12.9	-12.9	7.647058824
79	-12.7	-12.7	7.882352941
79	-12.8	-20.68235294	7.882352941
77	-12.9	-12.9	7.647058824
76	-13.2	-20.72941176	7.529411765
75	-13.2	-13.2	7.411764706
70	-12.4	-12.4	6.823529412
64	-11	-11	6.117647059
62	-10.2	-16.08235294	5.882352941
56	-9.7	-14.87647059	5.176470588
55	-9.1	-14.15882353	5.058823529
50	-8.5	-8.5	4.470588235
52	-8.8	-13.50588235	4.705882353
53	-8.8	-8.8	4.823529412
53	-9.6	-4.776470588	4.823529412
59	-10.4	-4.870588235	5.529411765
61	-10.7	-16.46470588	5.764705882
62	-10.9	-5.017647059	5.882352941
62	-10.8	-10.8	5.882352941
64	-10.8	-4.682352941	6.117647059
70	-11.3	-11.3	6.823529412
71	-11.6	-4.658823529	6.941176471
71	-11.6	-4.658823529	6.941176471
72	-11.9	-11.9	7.058823529
76	-12.7	-5.170588235	7.529411765
77	-12.9	-20.54705882	7.647058824
79	-13.3	-5.417647059	7.882352941
82	-13.5	-13.5	8.235294118
80	-13.6	-21.6	8
78	-13.4	-21.16470588	7.764705882
77	-12.8	-5.152941176	7.647058824
72	-11.6	-11.6	7.058823529
60	-9.3	-14.94705882	5.647058824
53	-7.7	-2.876470588	4.823529412
55	-7.3	-12.35882353	5.058823529
46	-6.6	-6.6	4
45	-5.8	-5.8	3.882352941
48	-5.8	-1.564705882	4.235294118
53	-7.5	-2.676470588	4.823529412
58	-8.5	-13.91176471	5.411764706
59	-8.8	-14.32941176	5.529411765
63	-9.3	-3.3	6
66	-9.6	-15.95294118	6.352941176
70	-9.7	-9.7	6.823529412
67	-9.6	-16.07058824	6.470588235
77	-10.2	-10.2	7.647058824
74	-10.4	-17.69411765	7.294117647
78	-10.8	-18.56470588	7.764705882
76	-10.7	-3.170588235	7.529411765
76	-10.7	-10.7	7.529411765
78	-11.1	-11.1	7.764705882
82	-11.6	-11.6	8.235294118
82	-11.8	-3.564705882	8.235294118
83	-11.8	-11.8	8.352941176
78	-10.9	-10.9	7.764705882
71	-9	-2.058823529	6.941176471
64	-7.9	-7.9	6.117647059
66	-5.9	-5.9	6.352941176
60	-5.1	-10.74705882	5.647058824
56	-4.3	0.876470588	5.176470588
52	-3.7	-3.7	4.705882353
49	-4	-4	4.352941176
52	-5	-5	4.705882353
55	-6.1	-11.15882353	5.058823529
57	-6.5	-6.5	5.294117647
60	-6.9	-1.252941176	5.647058824
60	-7.1	-7.1	5.647058824
61	-7.1	-7.1	5.764705882
63	-7.5	-7.5	6
70	-7.7	-14.52352941	6.823529412
75	-8.2	-0.788235294	7.411764706
73	-8.1	-15.27647059	7.176470588
77	-8.5	-16.14705882	7.647058824
77	-8.5	-8.5	7.647058824
76	-8.4	-8.4	7.529411765
76	-8.3	-15.82941176	7.529411765
77	-8.1	-15.74705882	7.647058824
76	-7.9	-0.370588235	7.529411765
73	-7.4	-14.57647059	7.176470588
68	-6.3	-6.3	6.588235294
65	-5.3	-11.53529412	6.235294118
57	-3.8	1.494117647	5.294117647
56	-3.2	-3.2	5.176470588
56	-2.2	-7.376470588	5.176470588
59	-2.1	3.429411765	5.529411765
68	-2.8	-2.8	6.588235294
82	-3.4	-3.4	8.235294118
89	-3.8	-12.85882353	9.058823529
89	-3.7	5.358823529	9.058823529
86	-3.4	5.305882353	8.705882353
86	-3.2	-3.2	8.705882353
87	-3.2	-12.02352941	8.823529412
89	-3.6	5.458823529	9.058823529
89	-3.8	5.258823529	9.058823529
88	-3.5	5.441176471	8.941176471
88	-3.7	-3.7	8.941176471
87	-3.8	5.023529412	8.823529412
88	-4.3	4.641176471	8.941176471
91	-5.2	-14.49411765	9.294117647
91	-4.9	-14.19411765	9.294117647
89	-4.8	4.258823529	9.058823529
89	-5.3	-5.3	9.058823529
85	-4.8	3.788235294	8.588235294
79	-3.7	-3.7	7.882352941
74	-2.8	4.494117647	7.294117647
68	-1.4	-7.988235294	6.588235294
64	-1.2	4.917647059	6.117647059
60	-0.6	-6.247058824	5.647058824
66	-0.6	5.752941176	6.352941176
75	-2	5.411764706	7.411764706
75	-2.2	-9.611764706	7.411764706
76	-2.7	4.829411765	7.529411765
79	-3.1	-10.98235294	7.882352941
63	-2.6	-8.6	6
77	-3.8	3.847058824	7.647058824
81	-4.4	-12.51764706	8.117647059
84	-4.7	-13.17058824	8.470588235
83	-5.1	3.252941176	8.352941176
85	-5.4	3.188235294	8.588235294
87	-5.6	3.223529412	8.823529412
88	-5.8	-14.74117647	8.941176471
88	-5.9	3.041176471	8.941176471
87	-6.3	-6.3	8.823529412
88	-6.7	-6.7	8.941176471
88	-7	-7	8.941176471
88	-6.7	-6.7	8.941176471
85	-6	2.588235294	8.588235294
80	-5.1	-13.1	8
75	-3.8	-3.8	7.411764706
58	-2.5	-7.911764706	5.411764706
57	-1.5	-1.5	5.294117647
68	-2.1	-8.688235294	6.588235294
68	-2.6	-2.6	6.588235294
70	-2.8	4.023529412	6.823529412
71	-2.9	-2.9	6.941176471
74	-3.4	-3.4	7.294117647
78	-4.3	-4.3	7.764705882
77	-5.6	2.047058824	7.647058824
69	-6.4	0.305882353	6.705882353
67	-7.2	-7.2	6.470588235
70	-7.8	-0.976470588	6.823529412
71	-8.2	-15.14117647	6.941176471
71	-8.7	-1.758823529	6.941176471
70	-9	-9	6.823529412
69	-9.3	-9.3	6.705882353
67	-9.9	-3.429411765	6.470588235
64	-10.1	-16.21764706	6.117647059
64	-10.6	-4.482352941	6.117647059
67	-11.4	-17.87058824	6.470588235
64	-12.1	-5.982352941	6.117647059
63	-12	-18	6
57	-11.2	-16.49411765	5.294117647
49	-10	-5.647058824	4.352941176
38	-9	-5.941176471	3.058823529
31	-8.5	-6.264705882	2.235294118
31	-7.6	-7.6	2.235294118
34	-7.6	-5.011764706	2.588235294
37	-8.1	-8.1	2.941176471
41	-8.8	-12.21176471	3.411764706
43	-9.5	-13.14705882	3.647058824
45	-10.2	-14.08235294	3.882352941
48	-10.5	-10.5	4.235294118
51	-11.3	-15.88823529	4.588235294
49	-11.8	-11.8	4.352941176
51	-12.2	-7.611764706	4.588235294
55	-12.9	-7.841176471	5.058823529
54	-13.3	-18.24117647	4.941176471
57	-13.7	-18.99411765	5.294117647
60	-14	-8.352941176	5.647058824
55	-14.3	-14.3	5.058823529
54	-14.6	-9.658823529	4.941176471
56	-14.9	-9.723529412	5.176470588
57	-15.1	-20.39411765	5.294117647
56	-15.3	-15.3	5.176470588
55	-14.8	-9.741176471	5.058823529
52	-14.2	-9.494117647	4.705882353
47	-13.3	-9.182352941	4.117647059
48	-11.9	-11.9	4.235294118
